date,IBM,GE,LLY,F,BAC,KR,ITUB,GG,SIRI,ACB,VALE,PFE,CTL,T,ECA,ABEV,CVS,MRVL,CSCO,MO,BMY,WFC,HBAN
20.06.17,-0.007514473,-0.01252028,-0.001330197,-0.007220241,-0.015444349,-0.000446852,0.003762936,0.025720037,0.011516432,-0.012422508,0.022901743,0.009489979,-0.010582118,-0.013279672,-0.042559545,0.007407434,0.004873742,0.001140928,-0.000314028,-0.003887062,0.007339151,-0.009019218,-0.012932788
21.06.17,0.003958606,-0.00831378,0.020006636,0.008119138,-0.00868433,0.00845759,0.002812939,0.010401237,0,0.036211391,0.018692204,0.005298814,-0.003689291,-0.001311556,0.023328201,0.001843273,-0.012099548,0.001708846,0.000314028,-0.007165628,0.022223174,-0.009291768,-0.009230899
22.06.17,-0.001879961,0.000725656,-0.004994043,-0.008119138,-0.004808779,0.00177152,-0.006575875,0.019759184,0.020775088,-0.017635023,0.008604809,0.003224297,0.002461013,-0.003944718,0.026348862,0.001839969,0.002457512,0.005675406,0.007507066,0.000130673,-0.01210864,-0.000762358,-0.017934168
23.06.17,0.007241223,0.001449806,0.004638165,0.012601458,0.003062776,0.00044239,0.035188848,-0.00946495,-0.009389687,0.006116221,0.020594316,-0.003811682,0.005718945,0.005256274,-0.004739341,0.009149142,0.034409527,-0.001132529,0.00466351,0.000522819,0.004931302,0.008543018,0.006274524
26.06.17,-0.003096949,-0.014593456,-0.014822144,-0.008984821,0.01646489,0.007051587,-0.012820742,-0.022190274,-0.007575786,0,0.009546603,-0.007963483,0.000407258,-0.011865683,0.004739341,-0.005479417,0.004607381,-0.049952236,-0.015000326,-0.015140853,-0.018082334,0.004902863,0.00933858
27.06.17,0.00367664,-0.004789105,0.000722253,0.000902141,0.025876256,0.0251531,0.009174433,-0.002246331,0.026267901,0.018127368,0.035009431,-0.000592431,0.012141029,0.006345814,0.022210099,0.01092906,0.009397895,0.020047738,0.010025196,0.006083858,-0.000536863,0.021770363,0.017658846
28.06.17,-0.007691118,-0.002218087,-0.004825118,0.007187805,0.018257791,-0.004722078,0.002735977,-0.028128033,-0.007434971,-0.007814895,0.002290895,-0.00356186,-0.027734253,-0.008470133,0.010350887,-0.009099279,-0.012134911,-0.01766826,-0.021106531,-0.019169847,-0.000895322,0.026338766,0.018100024
29.06.17,-0.001948325,-0.000370221,-0.00484842,0.001788865,-0.002470132,0.003436426,0.006354986,-0.004636826,0.020314578,0.007215957,0.001143537,-0.001190149,-0.012484604,0.002919726,0.00684158,0.003649636,0.002364245,-0.018591208,-0.003508236,0.000940414,-0.001793052,-0.00665528,0.010409041
30.06.17,0.011311972,0.016158989,0.00484842,0.032530415,0.017164298,0.00981444,0.010801175,-0.014826614,-0.016590183,0.02426873,0.019242255,0.006823926,0.003761766,0.010021209,0.020248088,-0.003649636,0.001986637,-0.026373825,0.000958029,0.000805336,0.009822371,0.00665528,0.01686872
03.07.17,-0.012352646,-0.003649617,0,-0.022748157,0.009677486,-0.013681261,0.002682163,0.010168262,0.007407434,-0.035718119,-0.020385792,-0.005336517,-0.00964164,0.00026232,-0.045565927,0.003649636,-0.011979168,0.014805932,-0.007046772,0.001072842,0.001420672,0,0.003629782
